day,kinko,Ptime,starttime,endtime,kokyaku,kokyaku_total,WD,core
43009,1299,0.000729167,43009.06678,43009.0677,0,0,1,7.3
43023,1299,0.000775463,43023.05194,43023.05287,0,0,1,7.3
43043,1299,0.000648148,43043.07762,43043.07839,0,433066,7,7.3
43044,1299,0.000706019,43044.04647,43044.04734,0,433066,1,7.3
43051,1299,0.000775463,43051.05522,43051.05615,0,645360,1,7.3
43057,1299,0.000740741,43057.07649,43057.07735,0,645360,7,7.3
43058,1299,0.000844907,43058.05108,43058.05205,0,645360,1,7.3
43064,1299,0.000740741,43064.07744,43064.0783,0,1362056,7,7.3
43072,1299,0.000787037,43072.05847,43072.05942,0,1362056,1,7.3
43086,1299,0.000694444,43086.05361,43086.05448,0,1362056,1,7.3
43092,1299,0.000671296,43092.05663,43092.05745,0,1362056,7,7.3
43093,1299,0.000671296,43093.0562,43093.05703,0,1362056,1,7.3
43100,1299,0.00068287,43100.0567,43100.05753,0,1362056,1,7.3
43142,1299,0.000625,43142.06288,43142.06369,0,1362056,1,7.3
43149,1299,0.000694444,43149.0641,43149.06493,0,1362056,1,7.3
43156,1299,0.000717593,43156.05417,43156.05503,0,1362056,1,7.3
43191,1299,0.00068287,43191.06832,43191.06919,0,1362056,1,7.3
43198,1299,0.000636574,43198.05304,43198.05385,0,1362056,1,7.3
43219,1299,0.000740741,43219.05355,43219.0545,0,1743698,1,7.3
43225,1299,0.000729167,43225.05263,43225.05351,0,2031378,7,7.3
43226,1299,0.000717593,43226.05051,43226.05135,0,2031378,1,7.3
43254,1299,0.000775463,43254.05616,43254.05715,0,2031378,1,7.3
43254,1100,0.000717593,43254.06346,43254.06434,0,3212446,1,6.3
43254,1267,0.000648148,43254.06536,43254.06612,431492,3212446,1,6.3
43260,1100,0.001898148,43260.07972,43260.08185,0,3843177,7,6.3
43268,1299,0.000821759,43268.06287,43268.06389,0,2031378,1,7.3
43268,1100,0.000763889,43268.06384,43268.06476,0,3843177,1,6.3
43268,1267,0.000810185,43268.06934,43268.0703,431492,3843177,1,6.3
43274,1100,0.000277778,43274.08301,43274.08332,0,3843177,7,6.3
43275,1299,0.000775463,43275.06655,43275.06749,0,2031378,1,7.3
43275,1100,0.000706019,43275.06729,43275.06816,0,3843177,1,6.3
43275,1267,0.000671296,43275.0723,43275.0731,431492,3843177,1,6.3
43282,1100,0.000729167,43282.07369,43282.07461,0,3843177,1,6.3
43282,1299,0.000763889,43282.07704,43282.07797,0,2031378,1,7.3
43296,1299,0.000856481,43296.06375,43296.06486,0,2031378,1,7.3
43296,1100,0.000694444,43296.06803,43296.06892,0,3843177,1,6.3
43296,1267,0.000648148,43296.076,43296.07679,431492,3843177,1,6.3
43323,1299,0.0040625,43323.07793,43323.08223,0,3556736,7,7.3
43323,1100,0.00119213,43323.08205,43323.08332,0,3843177,7,6.3
43324,1100,0.000717593,43324.05903,43324.05999,0,3843177,1,6.3
43324,1299,0.000810185,43324.06141,43324.0624,0,3556736,1,7.3
43324,1267,0.000775463,43324.06866,43324.06957,431492,3843177,1,6.3
43345,1100,0.000798611,43345.06082,43345.06179,0,3843177,1,6.3
43345,1299,0.00087963,43345.06818,43345.06924,0,6016081,1,7.3
43345,1267,0.000243056,43345.08304,43345.08329,431492,3843177,1,6.3
43352,1100,0.000694444,43352.0637,43352.06464,0,3843177,1,6.3
43352,1299,0.000821759,43352.0653,43352.06639,0,6016081,1,7.3
43352,1267,0.000671296,43352.06728,43352.06814,431492,3843177,1,6.3
43359,1100,0.000752315,43359.0687,43359.06972,0,3843177,1,6.3
43359,1299,0.001030093,43359.07091,43359.07211,0,6016081,1,7.3
43359,1267,0.000798611,43359.07311,43359.07414,431492,3843177,1,6.3
43373,1100,0.000856481,43373.05846,43373.05955,0,3843177,1,6.3
43373,1299,0.001435185,43373.06012,43373.06178,0,6016081,1,7.3
43373,1267,0.000775463,43373.07019,43373.07111,431492,3843177,1,6.3
43380,1100,0.000787037,43380.06075,43380.06177,0,3843177,1,6.3
43380,1299,0.001215278,43380.06273,43380.06413,0,6016081,1,7.3
43380,1267,0.000763889,43380.06808,43380.06899,431492,3843177,1,6.3
43387,1100,0.000810185,43387.06153,43387.0626,0,3843177,1,6.3
43387,1299,0.001076389,43387.06385,43387.06517,0,6016081,1,7.3
43387,1267,0.000844907,43387.06955,43387.07057,431492,3843177,1,6.3
43401,1100,0.000775463,43401.06201,43401.063,0,6895451,1,6.3
43401,1299,0.001064815,43401.06297,43401.06422,0,6016081,1,7.3
43401,1267,0.000787037,43401.07347,43401.0744,431492,6895451,1,6.3
43407,1100,0.000740741,43407.0666,43407.06749,0,11509950,7,6.3
43407,1299,0.001018519,43407.068,43407.06922,0,6016081,7,7.3
43407,1267,0.000104167,43407.08321,43407.08331,431492,11509950,7,6.3
43414,1260,0.3,43414.13221,43414.43667,2459345,6016081,7,7.3
43415,1100,0.000706019,43415.06429,43415.06524,0,11509950,1,6.3
43415,1299,0.000960648,43415.06926,43415.07038,0,6016081,1,7.3
43415,1267,0.000706019,43415.07578,43415.07668,431492,11509950,1,6.3
43429,1100,0.000763889,43429.0615,43429.06248,0,11509950,1,6.3
43429,1299,0.001076389,43429.06233,43429.06362,0,6016081,1,7.3
43429,1267,0.000729167,43429.07657,43429.07744,431492,11509950,1,6.3
43436,1100,0.000706019,43436.06296,43436.06384,0,11509950,1,6.3
43436,1299,0.001087963,43436.06584,43436.06712,0,6016081,1,7.3
43457,1100,0.000694444,43457.05719,43457.05804,0,11509950,1,6.3
43457,1299,0.0009375,43457.0595,43457.06071,0,6016081,1,7.3
43457,1267,0.000787037,43457.0717,43457.07263,431492,11509950,1,6.3
43464,1299,0.000960648,43464.06626,43464.06743,0,6016081,1,7.3
43464,1100,0.000671296,43464.07211,43464.07293,0,11509950,1,6.3
43464,1267,0.000625,43464.08258,43464.08332,431492,11509950,1,6.3
43471,1100,0.00068287,43471.05811,43471.05896,0,11509950,1,6.3
43471,1299,0.000810185,43471.06954,43471.07053,0,6016081,1,7.3
43471,1267,0.000752315,43471.0739,43471.07483,431492,11509950,1,6.3
43478,1100,0.000740741,43478.06712,43478.06803,0,11509950,1,6.3
43478,1299,0.000949074,43478.06979,43478.07096,0,6016081,1,7.3
43478,1267,0.000740741,43478.07845,43478.07935,431492,11509950,1,6.3
43485,1299,0.001099537,43485.06527,43485.06655,0,6016081,1,7.3
43485,1100,0.00068287,43485.06706,43485.06793,0,11509950,1,6.3
43485,1267,0.000706019,43485.07765,43485.07852,431492,11509950,1,6.3
43492,1100,0.00068287,43492.0563,43492.05714,0,11509950,1,6.3
43492,1299,0.001145833,43492.06337,43492.06475,0,6016081,1,7.3
43492,1267,0.000648148,43492.07249,43492.0733,431492,11509950,1,6.3
43499,1100,0.00068287,43499.05922,43499.06008,0,11509950,1,6.3
43499,1299,0.001134259,43499.06369,43499.06508,0,6016081,1,7.3
43499,1267,0.000729167,43499.07574,43499.07661,431492,11509950,1,6.3
43512,1299,0.000902778,43512.07166,43512.07284,0,6016081,7,7.3
43512,1100,0.000833333,43512.0752,43512.07617,0,11509950,7,6.3
43513,1299,0.001053241,43513.05443,43513.05576,0,6016081,1,7.3
43513,1100,0.000787037,43513.05593,43513.05686,0,11509950,1,6.3
43513,1267,0.000844907,43513.06549,43513.06654,431492,11509950,1,6.3
43519,1100,0.000694444,43519.06091,43519.06176,0,11509950,7,6.3
43519,1299,0.000810185,43519.06708,43519.06811,0,6016081,7,7.3
43519,1267,0.0009375,43519.07104,43519.07215,431492,11509950,7,6.3
43520,1100,0.000810185,43520.052,43520.05303,0,11509950,1,6.3
43520,1299,0.000960648,43520.0551,43520.05628,0,6016081,1,7.3
43520,1267,0.000902778,43520.06251,43520.06356,431492,11509950,1,6.3
43526,1100,0.000740741,43526.072,43526.07296,0,11509950,7,6.3
43526,1299,0.000902778,43526.07669,43526.07777,0,6016081,7,7.3
43533,1100,0.001979167,43533.05959,43533.06178,0,11509950,7,6.3
43533,1299,0.006898148,43533.06737,43533.07447,0,6016081,7,7.3
43533,1267,0.007546296,43533.06856,43533.07628,431492,11509950,7,6.3
43540,1100,0.000694444,43540.07043,43540.07128,0,11509950,7,6.3
43540,1299,0.000891204,43540.07193,43540.07303,0,6016081,7,7.3
43540,1267,0.000949074,43540.07792,43540.07906,431492,11509950,7,6.3
43541,1100,0.000810185,43541.05457,43541.05553,0,11509950,1,6.3
43541,1299,0.0009375,43541.05457,43541.05579,0,6016081,1,7.3
43541,1267,0.0009375,43541.06186,43541.063,431492,11509950,1,6.3
43547,1299,0.000868056,43547.06429,43547.06531,0,6016081,7,7.3
43547,1100,0.000706019,43547.06694,43547.06778,0,11509950,7,6.3
43547,1267,0.000856481,43547.07332,43547.07436,431492,11509950,7,6.3
43547,1260,0.00119213,43547.48488,43547.48622,2459345,6016081,7,7.3
43554,1299,0.000868056,43554.06755,43554.06858,0,6016081,7,7.3
43554,1100,0.000717593,43554.07457,43554.07545,0,11509950,7,6.3
43554,1267,0.000798611,43554.0823,43554.0833,431492,11509950,7,6.3
43555,1100,0.000810185,43555.0536,43555.05457,0,11509950,1,6.3
43555,1299,0.001122685,43555.05536,43555.0567,0,6016081,1,7.3
43555,1267,0.000925926,43555.06352,43555.06466,431492,11509950,1,6.3
43561,1100,0.002048611,43561.06228,43561.06462,0,11509950,7,6.3
43561,1299,0.006967593,43561.07199,43561.07912,0,6016081,7,7.3
43561,1267,0.003402778,43561.07981,43561.08331,431492,11509950,7,6.3
43568,1100,0.000717593,43568.05694,43568.05787,0,11509950,7,6.3
43568,1299,0.000868056,43568.064,43568.06502,0,6016081,7,7.3
43568,1267,0.001018519,43568.06657,43568.06772,431492,11509950,7,6.3
43569,1100,0.000798611,43569.05309,43569.05404,0,11509950,1,6.3
43569,1299,0.000925926,43569.05933,43569.0605,0,6016081,1,7.3
43569,1267,0.000856481,43569.06318,43569.06424,431492,11509950,1,6.3
43575,1100,0.000717593,43575.05683,43575.05777,0,11509950,7,6.3
43575,1267,0.0009375,43575.06638,43575.06753,431492,11509950,7,6.3
43575,1299,0.000787037,43575.06789,43575.06888,0,6016081,7,7.3
43582,1100,0.000775463,43582.07385,43582.07485,0,11509950,7,6.3
43582,1299,0.000902778,43582.07539,43582.07648,0,6016081,7,7.3
43589,1100,0.000740741,43589.04156,43589.04256,0,11509950,7,6.3
43589,1299,0.000891204,43589.04478,43589.04593,0,6016081,7,7.3
43589,1267,0.000752315,43589.0545,43589.05545,431492,11509950,7,6.3
43596,1100,0.001840278,43596.06752,43596.06957,0,11509950,7,6.3
43596,1299,0.006018519,43596.07127,43596.07745,0,6016081,7,7.3
43596,1267,0.005173611,43596.07659,43596.08191,431492,11509950,7,6.3
43603,1100,0.000694444,43603.05858,43603.0594,0,11509950,7,6.3
43603,1299,0.00087963,43603.06471,43603.0658,0,6016081,7,7.3
43603,1267,0.000821759,43603.06683,43603.06782,431492,11509950,7,6.3
