day,kinko,Ptime,starttime,endtime,kokyaku,kokyaku_total,WD,core
43008,1299,0.09,43008.96684,43009.05734,0,0,7,7.3
43009,1299,0.11,43009.96641,43010.07929,0,0,1,7.3
43011,1299,0.1,43011.9663,43012.07153,0,0,3,7.3
43012,1299,0.11,43012.9664,43013.07943,0,0,4,7.3
43013,1299,0.1,43013.96644,43014.07383,0,0,5,7.3
43014,1299,0.1,43014.96645,43015.07513,0,0,6,7.3
43016,1299,0.06,43016.96646,43017.03358,0,0,1,7.3
43019,1299,0.1,43019.96652,43020.07277,0,0,4,7.3
43021,1299,0.1,43021.96647,43022.07488,0,0,6,7.3
43022,1299,0.07,43022.96728,43023.04207,0,0,7,7.3
43023,1299,0.11,43023.9665,43024.07938,0,0,1,7.3
43025,1299,0.11,43025.96657,43026.08162,0,0,3,7.3
43026,1299,0.1,43026.9665,43027.0689,0,0,4,7.3
43027,1299,0.11,43027.96652,43028.07725,0,0,5,7.3
43028,1299,0.11,43028.96647,43029.08332,0,0,6,7.3
43030,1227,0.1,43030.96549,43031.06984,433066,0,1,7.3
43030,1299,0.1,43030.9685,43031.06973,0,0,1,7.3
43031,1227,0.1,43031.9655,43032.07181,433066,433066,2,7.3
43031,1299,0.1,43031.96859,43032.07146,0,433066,2,7.3
43032,1227,0.11,43032.96556,43033.08325,433066,433066,3,7.3
43032,1299,0.11,43032.96855,43033.08323,0,433066,3,7.3
43034,1227,0.07,43034.00677,43034.08259,433066,433066,5,7.3
43034,1299,0.07,43034.01134,43034.08237,0,433066,5,7.3
43034,1227,0.09,43034.99028,43035.08311,433066,433066,5,7.3
43034,1299,0.08,43034.99463,43035.08294,0,433066,5,7.3
43035,1227,0.11,43035.96551,43036.07883,433066,433066,6,7.3
43035,1299,0.1,43035.96858,43036.078,0,433066,6,7.3
43040,1227,0.1,43040.96554,43041.07176,433066,433066,4,7.3
43040,1299,0.1,43040.96846,43041.07139,0,433066,4,7.3
43041,1227,0.08,43041.96551,43042.0475,433066,433066,5,7.3
43041,1299,0.07,43041.96851,43042.04703,0,433066,5,7.3
43042,1227,0.1,43042.96556,43043.06972,433066,433066,6,7.3
43042,1299,0.1,43042.9685,43043.06884,0,433066,6,7.3
43043,1227,0.07,43043.96594,43044.03703,433066,433066,7,7.3
43043,1380,0.07,43043.96594,43044.03677,212294,433066,7,7.3
43043,1299,0.06,43043.96931,43044.03682,0,433066,7,7.3
43044,1227,0.11,43044.96551,43045.07618,433066,433066,1,7.3
43044,1380,0.1,43044.96551,43045.07667,212294,433066,1,7.3
43044,1299,0.1,43044.96852,43045.07579,0,433066,1,7.3
43045,1227,0.11,43045.96554,43046.08331,433066,645360,2,7.3
43045,1380,0.11,43045.96554,43046.0833,212294,645360,2,7.3
43045,1299,0.11,43045.96859,43046.0833,0,645360,2,7.3
43046,1227,0.1,43046.96549,43047.07378,433066,645360,3,7.3
43046,1380,0.1,43046.96551,43047.07311,212294,645360,3,7.3
43046,1299,0.1,43046.96853,43047.07309,0,645360,3,7.3
43047,1227,0.1,43047.96551,43048.07462,433066,645360,4,7.3
43047,1380,0.1,43047.96551,43048.07402,212294,645360,4,7.3
43047,1299,0.1,43047.96847,43048.07396,0,645360,4,7.3
43049,1380,0.11,43049.96552,43050.08331,212294,645360,6,7.3
43049,1227,0.11,43049.96554,43050.08266,433066,645360,6,7.3
43049,1299,0.11,43049.96844,43050.08227,0,645360,6,7.3
43050,1227,0.07,43050.9659,43051.04439,433066,645360,7,7.3
43050,1380,0.07,43050.9659,43051.04422,212294,645360,7,7.3
43050,1299,0.07,43050.969,43051.04422,0,645360,7,7.3
43051,1123,0.09,43051.9655,43052.06309,538870,0,1,6.3
43051,1227,0.1,43051.96554,43052.06707,433066,645360,1,7.3
43051,1380,0.1,43051.96559,43052.06656,212294,645360,1,7.3
43051,1299,0.09,43051.96861,43052.06669,0,645360,1,7.3
43052,1123,0.09,43052.9655,43053.06483,538870,538870,2,6.3
43052,1227,0.1,43052.9656,43053.0697,433066,645360,2,7.3
43052,1380,0.1,43052.9656,43053.06902,212294,645360,2,7.3
43052,1299,0.1,43052.96863,43053.06913,0,645360,2,7.3
43053,1123,0.1,43053.9655,43054.07353,538870,538870,3,6.3
43053,1227,0.1,43053.96552,43054.07042,433066,645360,3,7.3
43053,1380,0.1,43053.96552,43054.06992,212294,645360,3,7.3
43053,1299,0.1,43053.96862,43054.06987,0,645360,3,7.3
43054,1123,0.11,43054.96547,43055.08189,538870,538870,4,6.3
43054,1227,0.11,43054.96554,43055.07861,433066,645360,4,7.3
43054,1380,0.11,43054.96554,43055.07786,212294,645360,4,7.3
43054,1299,0.1,43054.9686,43055.07777,0,645360,4,7.3
43055,1123,0.1,43055.9655,43056.06969,538870,538870,5,6.3
43055,1227,0.1,43055.96554,43056.07248,433066,645360,5,7.3
43055,1380,0.1,43055.96557,43056.07178,212294,645360,5,7.3
43055,1299,0.1,43055.9686,43056.07193,0,645360,5,7.3
43056,1123,0.09,43056.96545,43057.06413,538870,538870,6,6.3
43056,1227,0.1,43056.96552,43057.06752,433066,645360,6,7.3
43056,1380,0.1,43056.96554,43057.06671,212294,645360,6,7.3
43056,1299,0.09,43056.96858,43057.06681,0,645360,6,7.3
43057,1227,0.07,43057.96601,43058.04036,433066,645360,7,7.3
43057,1380,0.07,43057.96601,43058.04022,212294,645360,7,7.3
43057,1123,0.07,43057.96613,43058.04484,538870,538870,7,6.3
43057,1299,0.07,43057.96898,43058.04022,0,645360,7,7.3
43058,1123,0.1,43058.96546,43059.06883,538870,538870,1,6.3
43058,1396,0.1,43058.96549,43059.07287,716696,645360,1,7.3
43058,1227,0.1,43058.96556,43059.07315,433066,645360,1,7.3
43058,1380,0.1,43058.96558,43059.0727,212294,645360,1,7.3
43058,1299,0.1,43058.9686,43059.0727,0,645360,1,7.3
43059,1123,0.11,43059.96547,43060.08229,538870,538870,2,6.3
43059,1227,0.11,43059.96554,43060.08244,433066,1362056,2,7.3
43059,1396,0.11,43059.96557,43060.08236,716696,1362056,2,7.3
43059,1380,0.11,43059.96561,43060.08153,212294,1362056,2,7.3
43059,1299,0.11,43059.96853,43060.08152,0,1362056,2,7.3
43060,1123,0.09,43060.96549,43061.06465,538870,538870,3,6.3
43060,1380,0.1,43060.96553,43061.06873,212294,1362056,3,7.3
43060,1227,0.1,43060.96556,43061.06957,433066,1362056,3,7.3
43060,1396,0.1,43060.96556,43061.06966,716696,1362056,3,7.3
43060,1299,0.09,43060.9685,43061.0687,0,1362056,3,7.3
43061,1123,0.07,43061.9655,43062.03917,538870,538870,4,6.3
43061,1227,0.07,43061.96554,43062.03634,433066,1362056,4,7.3
43061,1380,0.06,43061.96559,43062.03553,212294,1362056,4,7.3
43061,1396,0.07,43061.96559,43062.03623,716696,1362056,4,7.3
43061,1299,0.06,43061.96862,43062.03551,0,1362056,4,7.3
43062,1123,0.1,43062.96546,43063.0673,538870,538870,5,6.3
43062,1380,0.1,43062.96551,43063.07098,212294,1362056,5,7.3
43062,1227,0.1,43062.96556,43063.07155,433066,1362056,5,7.3
43062,1396,0.1,43062.96558,43063.07157,716696,1362056,5,7.3
43062,1299,0.1,43062.96852,43063.07075,0,1362056,5,7.3
43063,1227,0.1,43063.96551,43064.06818,433066,1362056,6,7.3
43063,1396,0.1,43063.96551,43064.06823,716696,1362056,6,7.3
43063,1123,0.1,43063.96551,43064.06941,538870,538870,6,6.3
43063,1380,0.1,43063.96551,43064.06757,212294,1362056,6,7.3
43063,1299,0.09,43063.96851,43064.06757,0,1362056,6,7.3
43067,1123,0.1,43067.96549,43068.07097,538870,538870,3,6.3
43067,1227,0.11,43067.9656,43068.07902,433066,1362056,3,7.3
43067,1396,0.11,43067.9656,43068.07918,716696,1362056,3,7.3
43067,1380,0.11,43067.9656,43068.07861,212294,1362056,3,7.3
43067,1299,0.1,43067.96863,43068.07863,0,1362056,3,7.3
43068,1123,0.11,43068.96551,43069.08128,538870,538870,4,6.3
43070,1123,0.11,43070.96556,43071.07806,538870,538870,6,6.3
43070,1227,0.1,43070.96564,43071.0756,433066,1362056,6,7.3
43070,1380,0.1,43070.96564,43071.0748,212294,1362056,6,7.3
43070,1396,0.1,43070.96564,43071.07575,716696,1362056,6,7.3
43070,1299,0.1,43070.96859,43071.07477,0,1362056,6,7.3
43071,1227,0.08,43071.96598,43072.04778,433066,1362056,7,7.3
43071,1380,0.08,43071.96598,43072.04725,212294,1362056,7,7.3
43071,1396,0.08,43071.96601,43072.04799,716696,1362056,7,7.3
43071,1123,0.08,43071.9661,43072.05046,538870,538870,7,6.3
43071,1299,0.07,43071.96905,43072.04725,0,1362056,7,7.3
43072,1123,0.1,43072.96549,43073.06696,538870,538870,1,6.3
43072,1396,0.1,43072.96553,43073.07464,716696,1362056,1,7.3
43072,1227,0.1,43072.96558,43073.07498,433066,1362056,1,7.3
43072,1380,0.1,43072.96558,43073.07412,212294,1362056,1,7.3
43072,1299,0.1,43072.96845,43073.07414,0,1362056,1,7.3
43073,1123,0.11,43073.96544,43074.07795,538870,538870,2,6.3
43074,1123,0.1,43074.9655,43075.07109,538870,538870,3,6.3
43074,1380,0.11,43074.96552,43075.08265,212294,1362056,3,7.3
43074,1227,0.11,43074.96554,43075.08314,433066,1362056,3,7.3
43074,1396,0.11,43074.96557,43075.0833,716696,1362056,3,7.3
43074,1299,0.11,43074.96859,43075.08251,0,1362056,3,7.3
43075,1123,0.1,43075.96546,43076.07438,538870,538870,4,6.3
43075,1227,0.11,43075.96551,43076.08238,433066,1362056,4,7.3
43075,1396,0.11,43075.96551,43076.0827,716696,1362056,4,7.3
43075,1380,0.11,43075.96551,43076.08145,212294,1362056,4,7.3
43075,1299,0.11,43075.96852,43076.08139,0,1362056,4,7.3
43076,1123,0.11,43076.96547,43077.08134,538870,538870,5,6.3
43076,1227,0.11,43076.9655,43077.08235,433066,1362056,5,7.3
43076,1396,0.11,43076.9655,43077.08238,716696,1362056,5,7.3
43076,1380,0.11,43076.9655,43077.08155,212294,1362056,5,7.3
43076,1299,0.11,43076.96859,43077.08153,0,1362056,5,7.3
43077,1123,0.1,43077.96547,43078.06748,538870,538870,6,6.3
43077,1380,0.1,43077.9655,43078.07458,212294,1362056,6,7.3
43077,1396,0.1,43077.9655,43078.07574,716696,1362056,6,7.3
43077,1227,0.1,43077.96552,43078.07584,433066,1362056,6,7.3
43077,1299,0.1,43077.96848,43078.07455,0,1362056,6,7.3
43080,1123,0.11,43080.96546,43081.08153,538870,538870,2,6.3
43081,1123,0.1,43081.96552,43082.06733,538870,538870,3,6.3
43081,1380,0.1,43081.96552,43082.07113,212294,1362056,3,7.3
43081,1396,0.1,43081.96557,43082.07215,716696,1362056,3,7.3
43081,1227,0.1,43081.96559,43082.07209,433066,1362056,3,7.3
43081,1299,0.1,43081.9687,43082.07103,0,1362056,3,7.3
43082,1123,0.1,43082.96547,43083.07088,538870,538870,4,6.3
43082,1227,0.1,43082.96559,43083.07561,433066,1362056,4,7.3
43082,1380,0.1,43082.96559,43083.07449,212294,1362056,4,7.3
43082,1396,0.1,43082.96559,43083.07575,716696,1362056,4,7.3
43082,1299,0.1,43082.96866,43083.07448,0,1362056,4,7.3
43084,1123,0.11,43084.96551,43085.08166,538870,538870,6,6.3
43084,1380,0.11,43084.96553,43085.08279,212294,1362056,6,7.3
43084,1396,0.11,43084.96556,43085.08326,716696,1362056,6,7.3
43084,1227,0.11,43084.96558,43085.08329,433066,1362056,6,7.3
43084,1299,0.11,43084.96866,43085.08271,0,1362056,6,7.3
43085,1227,0.07,43085.96591,43086.04409,433066,1362056,7,7.3
43085,1123,0.08,43085.96591,43086.05397,538870,538870,7,6.3
43085,1396,0.07,43085.96594,43086.04485,716696,1362056,7,7.3
43085,1380,0.07,43085.96594,43086.04318,212294,1362056,7,7.3
43085,1299,0.07,43085.96856,43086.04315,0,1362056,7,7.3
43086,1172,0.1,43086.96546,43087.07377,389675,538870,1,6.3
43086,1123,0.1,43086.96546,43087.07403,538870,538870,1,6.3
43086,1227,0.1,43086.96556,43087.07481,433066,1362056,1,7.3
43086,1396,0.1,43086.96558,43087.07486,716696,1362056,1,7.3
43086,1380,0.1,43086.96558,43087.0741,212294,1362056,1,7.3
43086,1299,0.1,43086.96854,43087.07389,0,1362056,1,7.3
43087,1172,0.1,43087.96547,43088.06759,389675,928545,2,6.3
43087,1123,0.1,43087.96547,43088.06789,538870,928545,2,6.3
43087,1396,0.11,43087.96554,43088.07625,716696,1362056,2,7.3
43087,1227,0.1,43087.96557,43088.07584,433066,1362056,2,7.3
43087,1380,0.1,43087.96559,43088.07483,212294,1362056,2,7.3
43087,1299,0.1,43087.96855,43088.07468,0,1362056,2,7.3
43088,1172,0.11,43088.96549,43089.08264,389675,928545,3,6.3
43088,1123,0.11,43088.96553,43089.0827,538870,928545,3,6.3
43088,1380,0.11,43088.96553,43089.08141,212294,1362056,3,7.3
43088,1227,0.11,43088.96558,43089.08269,433066,1362056,3,7.3
43088,1396,0.11,43088.96558,43089.08313,716696,1362056,3,7.3
43088,1299,0.11,43088.96855,43089.08134,0,1362056,3,7.3
43089,1172,0.11,43089.96552,43090.08281,389675,928545,4,6.3
43089,1396,0.11,43089.96552,43090.08331,716696,1362056,4,7.3
43089,1123,0.11,43089.96552,43090.08277,538870,928545,4,6.3
43089,1227,0.11,43089.96554,43090.08318,433066,1362056,4,7.3
43089,1380,0.11,43089.96557,43090.08257,212294,1362056,4,7.3
43089,1299,0.11,43089.9687,43090.08253,0,1362056,4,7.3
43090,1172,0.1,43090.96546,43091.07118,389675,928545,5,6.3
43090,1123,0.1,43090.96553,43091.0713,538870,928545,5,6.3
43090,1380,0.1,43090.96556,43091.07506,212294,1362056,5,7.3
43090,1227,0.11,43090.96558,43091.07606,433066,1362056,5,7.3
43090,1396,0.11,43090.96558,43091.0767,716696,1362056,5,7.3
43090,1299,0.1,43090.96856,43091.0748,0,1362056,5,7.3
43091,1123,0.07,43091.96549,43092.03995,538870,928545,6,6.3
43091,1172,0.07,43091.96553,43092.03987,389675,928545,6,6.3
43091,1227,0.08,43091.96556,43092.04794,433066,1362056,6,7.3
43091,1380,0.08,43091.96556,43092.04681,212294,1362056,6,7.3
43091,1396,0.08,43091.96556,43092.0485,716696,1362056,6,7.3
43091,1299,0.07,43091.96855,43092.04677,0,1362056,6,7.3
43092,1227,0.08,43092.96602,43093.04758,433066,1362056,7,7.3
43092,1396,0.08,43092.96602,43093.04811,716696,1362056,7,7.3
