day,Ptime,starttime,endtime,kokyaku,kokyaku_total,WD,core
43008,0.003784722,43008.02084,43008.02463,0,0,7,6.3
43008,0.003773148,43008.02084,43008.0247,0,0,7,7.3
43009,0.00380787,43009.02084,43009.02468,0,0,1,6.3
43009,0.003819444,43009.02084,43009.02466,0,0,1,7.3
43010,0.003796296,43010.02084,43010.02469,0,0,2,6.3
43010,0.003784722,43010.02084,43010.02463,0,0,2,7.3
43011,0.003796296,43011.02084,43011.02465,0,0,3,7.3
43011,0.003796296,43011.02084,43011.02468,0,0,3,6.3
43012,0.00380787,43012.02084,43012.02471,0,0,4,7.3
43012,0.003796296,43012.02084,43012.02468,0,0,4,6.3
43013,0.003784722,43013.02083,43013.02465,0,0,5,7.3
43013,0.003773148,43013.02083,43013.02462,0,0,5,6.3
43014,0.003761574,43014.02084,43014.02464,0,0,6,6.3
43014,0.003773148,43014.02084,43014.02463,0,0,6,7.3
43015,0.003773148,43015.02084,43015.02464,0,0,7,6.3
43015,0.003761574,43015.02084,43015.02465,0,0,7,7.3
43017,0.004282407,43017.02084,43017.02516,0,0,2,6.3
43017,0.00431713,43017.02084,43017.02519,0,0,2,7.3
43018,0.004085648,43018.02084,43018.02494,0,0,3,6.3
43018,0.004074074,43018.02084,43018.02497,0,0,3,7.3
43019,0.004131944,43019.02084,43019.02498,0,0,4,7.3
43019,0.004108796,43019.02084,43019.025,0,0,4,6.3
43020,0.004143519,43020.02084,43020.02501,0,0,5,7.3
43020,0.004143519,43020.02084,43020.02503,0,0,5,6.3
43021,0.004189815,43021.02084,43021.02508,0,0,6,7.3
43021,0.004189815,43021.02084,43021.02506,0,0,6,6.3
43022,0.004143519,43022.02084,43022.02502,0,0,7,7.3
43022,0.004166667,43022.02084,43022.02502,0,0,7,6.3
43023,0.004178241,43023.02084,43023.02503,0,0,1,7.3
43023,0.004166667,43023.02084,43023.02506,0,0,1,6.3
43024,0.004166667,43024.02084,43024.02506,0,0,2,6.3
43024,0.004189815,43024.02084,43024.02503,0,0,2,7.3
43025,0.004166667,43025.02084,43025.02502,0,0,3,7.3
43025,0.004143519,43025.02084,43025.02502,0,0,3,6.3
43026,0.004178241,43026.02083,43026.02505,0,0,4,6.3
