"day","job","Ptime","starttime","endtime"
2017/10/26 0:00:00,"JSCRMWD112_1299",4.07407407407408e-03,2017/10/26 0:09:53,2017/10/26 0:16:20
2018/8/27 0:00:00,"JSCRMWD112_1260",2.22222222222222e-03,2018/8/27 0:00:00,2018/8/27 0:03:34
2018/9/23 0:00:00,"JSCRMWD112_1260",3.1712962962963e-03,2018/9/23 23:59:59,2018/9/24 0:05:14
2018/10/21 0:00:00,"JSCRMWD112_1260",3.99305555555556e-03,2018/10/21 23:59:55,2018/10/22 0:06:32
2018/11/5 0:00:00,"JSCRMWD112_1260",5.11574074074074e-03,2018/11/5 0:07:45,2018/11/5 0:15:56
2018/11/18 0:00:00,"JSCRMWD112_1260",3.25231481481482e-03,2018/11/18 23:59:59,2018/11/19 0:05:17
2018/12/10 0:00:00,"JSCRMWD112_1260",4.82638888888889e-03,2018/12/10 0:01:02,2018/12/10 0:08:53
2018/12/17 0:00:00,"JSCRMWD112_1260",4.80324074074074e-03,2018/12/17 0:04:55,2018/12/17 0:12:44
2019/2/11 0:00:00,"JSCRMWD112_1260",3.71527777777778e-03,2019/2/11 23:59:55,2019/2/12 0:06:01
2019/3/4 0:00:00,"JSCRMWD112_1260",4.74537037037037e-03,2019/3/4 0:08:31,2019/3/4 0:16:20
2019/3/11 0:00:00,"JSCRMWD112_1260",4.82638888888889e-03,2019/3/11 0:03:32,2019/3/11 0:11:18
2019/3/25 0:00:00,"JSCRMWD112_1260",4.7800925925926e-03,2019/3/25 0:04:01,2019/3/25 0:11:49
2019/4/8 0:00:00,"JSCRMWD112_1260",4.75694444444445e-03,2019/4/8 0:02:16,2019/4/8 0:10:04
2019/4/22 0:00:00,"JSCRMWD112_1260",4.76851851851852e-03,2019/4/22 0:05:43,2019/4/22 0:13:31
2019/4/29 0:00:00,"JSCRMWD112_1260",4.78009259259259e-03,2019/4/29 0:05:23,2019/4/29 0:13:15
2019/5/6 0:00:00,"JSCRMWD112_1260",4.74537037037037e-03,2019/5/6 0:00:47,2019/5/6 0:08:39
2019/5/13 0:00:00,"JSCRMWD112_1260",4.79166666666667e-03,2019/5/13 0:05:42,2019/5/13 0:13:30
2019/6/17 0:00:00,"JSCRMWD112_1260",4.79166666666667e-03,2019/6/17 0:08:41,2019/6/17 0:16:31
2019/6/24 0:00:00,"JSCRMWD112_1260",4.74537037037037e-03,2019/6/24 0:08:57,2019/6/24 0:16:51
2019/7/1 0:00:00,"JSCRMWD112_1260",4.72222222222222e-03,2019/7/1 0:10:52,2019/7/1 0:18:38
2019/7/8 0:00:00,"JSCRMWD112_1260",4.83796296296296e-03,2019/7/8 0:11:29,2019/7/8 0:19:26
2019/7/15 0:00:00,"JSCRMWD112_1260",4.84953703703704e-03,2019/7/15 0:21:41,2019/7/15 0:29:25
2019/7/22 0:00:00,"JSCRMWD112_1260",4.82638888888889e-03,2019/7/22 0:11:49,2019/7/22 0:19:43
2019/8/12 0:00:00,"JSCRMWD112_1260",4.84953703703704e-03,2019/8/12 0:14:29,2019/8/12 0:22:25
2019/8/26 0:00:00,"JSCRMWD112_1260",4.79166666666667e-03,2019/8/26 0:14:19,2019/8/26 0:22:12
2019/9/9 0:00:00,"JSCRMWD112_1260",4.84953703703704e-03,2019/9/9 0:14:05,2019/9/9 0:22:04
2019/9/23 0:00:00,"JSCRMWD112_1260",4.84953703703704e-03,2019/9/23 0:14:39,2019/9/23 0:22:35
2019/9/23 0:00:00,"JSCRMWD112_1299",5.78703703703704e-05,2019/9/23 23:10:02,2019/9/23 1:00:37
2019/9/24 0:00:00,"JSCRMWD212_1100",6.94444444444444e-05,2019/9/24 23:10:00,2019/9/24 1:15:44
2019/9/30 0:00:00,"JSCRMWD112_1260",4.74537037037037e-03,2019/9/30 0:15:21,2019/9/30 0:23:08
2019/10/10 0:00:00,"JSCRMWD112_1299",5.78703703703704e-05,2019/10/10 23:10:07,2019/10/10 1:20:52
2019/11/3 0:00:00,"JSCRMWD212_1349",3.70370370370371e-03,2019/11/3 23:59:59,2019/11/4 0:06:05
2019/11/4 0:00:00,"JSCRMWD112_1260",5.03472222222222e-03,2019/11/4 0:26:16,2019/11/4 0:34:24
2019/11/24 0:00:00,"JSCRMWD212_1349",2.5462962962963e-04,2019/11/24 23:59:50,2019/11/25 0:00:15
2019/11/25 0:00:00,"JSCRMWD112_1260",4.88425925925926e-03,2019/11/25 0:15:46,2019/11/25 0:23:42
2019/12/9 0:00:00,"JSCRMWD212_1349",3.90046296296297e-03,2019/12/9 0:00:00,2019/12/9 0:06:29
2019/12/10 0:00:00,"JSCRMWD112_1260",4.88425925925926e-03,2019/12/10 0:12:13,2019/12/10 0:20:15
2019/12/22 0:00:00,"JSCRMWD212_1349",4.17824074074074e-03,2019/12/22 23:59:58,2019/12/23 0:06:50
2019/12/23 0:00:00,"JSCRMWD112_1260",4.91898148148148e-03,2019/12/23 0:23:55,2019/12/23 0:31:58
2020/1/12 0:00:00,"JSCRMWD212_1349",4.09722222222223e-03,2020/1/12 23:59:58,2020/1/13 0:06:47
