day,kinko,Ptime,kokyaku,kokyaku_total,WD,core,starttime,endtime
43009,1299,0.001631944,0,0,1,7.3,43009.05734,43009.05897
43010,1299,0.001365741,0,0,2,7.3,43010.07931,43010.08067
43012,1299,0.00130787,0,0,4,7.3,43012.07154,43012.07285
43013,1299,0.001215278,0,0,5,7.3,43013.07944,43013.08066
43014,1299,0.001273148,0,0,6,7.3,43014.07385,43014.07513
43015,1299,0.001331019,0,0,7,7.3,43015.07513,43015.07646
43017,1299,0.00150463,0,0,2,7.3,43017.0336,43017.0351
43020,1299,0.001122685,0,0,5,7.3,43020.07279,43020.07391
43022,1299,0.001284722,0,0,7,7.3,43022.07491,43022.07619
43023,1299,0.001608796,0,0,1,7.3,43023.04209,43023.0437
43024,1299,0.001261574,0,0,2,7.3,43024.0794,43024.08066
43026,1299,0.001145833,0,0,4,7.3,43026.08164,43026.08279
43027,1299,0.001284722,0,0,5,7.3,43027.06891,43027.0702
43028,1299,0.001226852,0,0,6,7.3,43028.07725,43028.07847
43031,1299,0.001238426,0,433066,2,7.3,43031.06975,43031.07098
43032,1299,0.001319444,0,433066,3,7.3,43032.07147,43032.07279
43036,1299,0.001354167,0,433066,7,7.3,43036.078,43036.07935
43036,1227,0.001898148,433066,433066,7,7.3,43036.07885,43036.08075
43038,1227,0.001747685,433066,433066,2,7.3,43038.0208,43038.02255
43038,1299,0.001412037,0,433066,2,7.3,43038.02147,43038.02288
43039,1227,0.00181713,433066,433066,3,7.3,43039.02192,43039.02374
43039,1299,0.001296296,0,433066,3,7.3,43039.0222,43039.0235
43041,1299,0.001412037,0,433066,5,7.3,43041.0714,43041.07281
43041,1227,0.001898148,433066,433066,5,7.3,43041.07178,43041.07368
43042,1299,0.001319444,0,433066,6,7.3,43042.04703,43042.04834
43042,1227,0.001840278,433066,433066,6,7.3,43042.04752,43042.04936
43043,1299,0.001238426,0,433066,7,7.3,43043.06887,43043.0701
43043,1227,0.001828704,433066,433066,7,7.3,43043.06973,43043.07156
43044,1380,0.001759259,212294,433066,1,7.3,43044.03677,43044.03853
43044,1299,0.001724537,0,433066,1,7.3,43044.03682,43044.03854
43044,1227,0.002048611,433066,433066,1,7.3,43044.03704,43044.03909
43045,1380,0.00181713,212294,645360,2,7.3,43045.07576,43045.07758
43045,1299,0.001655093,0,645360,2,7.3,43045.0758,43045.07745
43045,1227,0.002175926,433066,645360,2,7.3,43045.0762,43045.07838
43047,1299,0.001493056,0,645360,4,7.3,43047.07311,43047.07461
43047,1380,0.001655093,212294,645360,4,7.3,43047.07311,43047.07477
43047,1227,0.001990741,433066,645360,4,7.3,43047.07381,43047.0758
43048,1299,0.001527778,0,645360,5,7.3,43048.07398,43048.07551
43048,1380,0.001770833,212294,645360,5,7.3,43048.07403,43048.0758
43048,1227,0.002048611,433066,645360,5,7.3,43048.07464,43048.07669
43051,1380,0.002083333,212294,645360,1,7.3,43051.04422,43051.04631
43051,1299,0.002025463,0,645360,1,7.3,43051.04425,43051.04627
43051,1227,0.002893519,433066,645360,1,7.3,43051.04439,43051.04728
43052,1123,0.002627315,538870,538870,2,6.3,43052.06309,43052.06572
43052,1380,0.001678241,212294,645360,2,7.3,43052.06657,43052.06825
43052,1299,0.001527778,0,645360,2,7.3,43052.0667,43052.06823
43052,1227,0.002071759,433066,645360,2,7.3,43052.06709,43052.06917
43053,1123,0.001921296,538870,538870,3,6.3,43053.06485,43053.06677
43053,1380,0.001909722,212294,645360,3,7.3,43053.06902,43053.07093
43054,1299,0.001608796,0,645360,4,7.3,43054.06987,43054.07148
43054,1380,0.00162037,212294,645360,4,7.3,43054.06994,43054.07156
43054,1227,0.002106481,433066,645360,4,7.3,43054.07044,43054.07255
43054,1123,0.002303241,538870,538870,4,6.3,43054.07355,43054.07586
43055,1299,0.001481481,0,645360,5,7.3,43055.07778,43055.07926
43055,1380,0.001585648,212294,645360,5,7.3,43055.07786,43055.07944
43055,1227,0.002037037,433066,645360,5,7.3,43055.07862,43055.08066
43056,1123,0.001898148,538870,538870,6,6.3,43056.06969,43056.07159
43056,1380,0.001805556,212294,645360,6,7.3,43056.07179,43056.0736
43056,1299,0.001574074,0,645360,6,7.3,43056.07194,43056.07352
43056,1227,0.002094907,433066,645360,6,7.3,43056.07248,43056.07457
43057,1123,0.002013889,538870,538870,7,6.3,43057.06416,43057.06617
43057,1380,0.001736111,212294,645360,7,7.3,43057.06674,43057.06847
43057,1299,0.001469907,0,645360,7,7.3,43057.06681,43057.06828
43057,1227,0.00224537,433066,645360,7,7.3,43057.06752,43057.06977
43058,1380,0.002025463,212294,645360,1,7.3,43058.04022,43058.04225
43058,1299,0.001956019,0,645360,1,7.3,43058.04024,43058.0422
43058,1227,0.002685185,433066,645360,1,7.3,43058.04038,43058.04307
43058,1123,0.002604167,538870,538870,1,6.3,43058.04486,43058.04747
43059,1123,0.002037037,538870,538870,2,6.3,43059.06884,43059.07088
43059,1299,0.001689815,0,1362056,2,7.3,43059.07271,43059.0744
43059,1380,0.001770833,212294,1362056,2,7.3,43059.07271,43059.07448
43059,1396,0.003148148,716696,1362056,2,7.3,43059.07289,43059.07604
43059,1227,0.002222222,433066,1362056,2,7.3,43059.07317,43059.07539
43060,1299,0.00162037,0,1362056,3,7.3,43060.08153,43060.08315
43060,1380,0.001724537,212294,1362056,3,7.3,43060.08153,43060.08325
43061,1123,0.001840278,538870,538870,4,6.3,43061.06466,43061.0665
43061,1380,0.001793981,212294,1362056,4,7.3,43061.06873,43061.07052
43061,1227,0.002395833,433066,1362056,4,7.3,43061.06959,43061.07199
43061,1396,0.0034375,716696,1362056,4,7.3,43061.06966,43061.0731
43062,1299,0.00150463,0,1362056,5,7.3,43062.03551,43062.03701
43062,1380,0.00181713,212294,1362056,5,7.3,43062.03556,43062.03737
43062,1396,0.002569444,716696,1362056,5,7.3,43062.03625,43062.03882
43062,1227,0.002280093,433066,1362056,5,7.3,43062.03635,43062.03863
43062,1123,0.001863426,538870,538870,5,6.3,43062.03919,43062.04105
43063,1123,0.001828704,538870,538870,6,6.3,43063.06731,43063.06914
43063,1299,0.001539352,0,1362056,6,7.3,43063.07078,43063.07231
43063,1380,0.001747685,212294,1362056,6,7.3,43063.07101,43063.07275
43063,1227,0.002372685,433066,1362056,6,7.3,43063.07157,43063.07395
43063,1396,0.002511574,716696,1362056,6,7.3,43063.07161,43063.07412
43064,1299,0.001574074,0,1362056,7,7.3,43064.06757,43064.06914
43064,1380,0.001701389,212294,1362056,7,7.3,43064.06759,43064.06929
43064,1227,0.002291667,433066,1362056,7,7.3,43064.06818,43064.07047
43064,1396,0.002488426,716696,1362056,7,7.3,43064.06823,43064.07072
43064,1123,0.001979167,538870,538870,7,6.3,43064.06941,43064.07139
43068,1123,0.001944444,538870,538870,4,6.3,43068.071,43068.07294
43068,1380,0.001782407,212294,1362056,4,7.3,43068.07863,43068.08042
43068,1299,0.001759259,0,1362056,4,7.3,43068.07866,43068.08042
43068,1227,0.002210648,433066,1362056,4,7.3,43068.07902,43068.08123
43068,1396,0.0025,716696,1362056,4,7.3,43068.0792,43068.0817
43069,1123,0.002002315,538870,538870,5,6.3,43069.08128,43069.08329
43071,1299,0.001574074,0,1362056,7,7.3,43071.07478,43071.07635
43071,1380,0.001678241,212294,1362056,7,7.3,43071.0748,43071.07648
43071,1227,0.002233796,433066,1362056,7,7.3,43071.07561,43071.07785
43071,1396,0.002569444,716696,1362056,7,7.3,43071.07575,43071.07832
43071,1123,0.001863426,538870,538870,7,6.3,43071.07806,43071.07992
43072,1299,0.002071759,0,1362056,1,7.3,43072.04726,43072.04933
43072,1380,0.002164352,212294,1362056,1,7.3,43072.04726,43072.04942
43072,1227,0.0034375,433066,1362056,1,7.3,43072.04779,43072.05123
43072,1396,0.002858796,716696,1362056,1,7.3,43072.04799,43072.05084
43072,1123,0.002696759,538870,538870,1,6.3,43072.05049,43072.05318
43073,1123,0.001990741,538870,538870,2,6.3,43073.06697,43073.06896
43073,1299,0.001759259,0,1362056,2,7.3,43073.07414,43073.0759
43073,1380,0.001828704,212294,1362056,2,7.3,43073.07414,43073.07597
43073,1396,0.002523148,716696,1362056,2,7.3,43073.07464,43073.07716
43073,1227,0.002372685,433066,1362056,2,7.3,43073.075,43073.07737
43074,1123,0.001944444,538870,538870,3,6.3,43074.07796,43074.07991
43075,1123,0.001921296,538870,538870,4,6.3,43075.07111,43075.07303
43076,1123,0.001956019,538870,538870,5,6.3,43076.07439,43076.07634
43076,1299,0.001631944,0,1362056,5,7.3,43076.0814,43076.08303
43077,1123,0.001944444,538870,538870,6,6.3,43077.08137,43077.08331
